crr_Nom;psu_Nem;psu_Leng;psu_Mate;psu_Cie;psu_Pond;Longitud;Latitud;cred_apr;distancia;F;M;PARTICULAR_SUBVENCIONADO;PARTICULAR_PAGADO;MUNICIPAL;c1;c2;c3;c4
INGENIERIA CIVIL INDUSTRIAL;783;653;685;672;735;-73.1648703;-36.9787591;38;20.201244;1;0;1;0;0;0;1;0;0
INGENIERIA CIVIL BIOMEDICA;799;705;713;686;756;-73.1648703;-36.9787591;36;20.201244;1;0;1;0;0;1;0;0;0
INGENIERIA CIVIL QUIMICA;688;543;612;534;638;-73.1648703;-36.9787591;36;20.201244;1;0;1;0;0;0;0;1;0
INGENIERIA CIVIL ELECTRICA;605;598;658;601;633;-73.1648703;-36.9787591;21;20.201244;0;1;1;0;0;0;1;0;0
INGENIERIA CIVIL INFORMATICA;603;710;668;651;657;-73.1648703;-36.9787591;19;20.201244;0;1;1;0;0;0;1;0;0
INGENIERIA CIVIL BIOMEDICA;595;571;607;591;609;-73.1648703;-36.9787591;15;20.201244;0;1;1;0;0;0;0;1;0
INGENIERIA CIVIL ELECTRICA;719;672;583;630;664;-73.1648703;-36.9787591;9;20.201244;0;1;1;0;0;0;1;0;0
INGENIERIA CIVIL - PLAN COMUN;692;549;572;570;624;-73.1648703;-36.9787591;9;20.201244;0;1;1;0;0;0;0;1;0
INGENIERIA CIVIL METALURGICA;742;574;582;536;667;-73.1648703;-36.9787591;0;20.201244;1;0;1;0;0;0;0;0;1
INGENIERIA CIVIL EN TELECOMUNICACIONES;558;589;565;542;563;-73.1648703;-36.9787591;0;20.201244;0;1;1;0;0;0;0;0;1
INGENIERIA CIVIL MECANICA;754;773;766;688;778;-73.089504;-36.776139;40;7.542787;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL BIOMEDICA;661;657;671;595;655;-73.089504;-36.776139;37;7.542787;1;0;0;1;0;0;1;0;0
INGENIERIA CIVIL BIOMEDICA;620;571;728;594;657;-73.089504;-36.776139;37;7.542787;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL QUIMICA;750;705;719;730;744;-73.089504;-36.776139;36;7.542787;1;0;0;1;0;1;0;0;0
INGENIERiA CIVIL DE MINAS;764;616;696;646;702;-73.089504;-36.776139;36;7.542787;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL INDUSTRIAL;744;623;725;617;698;-73.089504;-36.776139;36;7.542787;0;1;0;1;0;0;1;0;0
INGENIERiA CIVIL DE MINAS;723;594;715;608;690;-73.089504;-36.776139;36;7.542787;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL QUIMICA;744;617;671;605;671;-73.089504;-36.776139;36;7.542787;1;0;0;1;0;1;0;0;0
INGENIERIA CIVIL QUIMICA;643;560;673;685;652;-73.089504;-36.776139;36;7.542787;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL METALURGICA;682;583;634;605;647;-73.089504;-36.776139;36;7.542787;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL DE MATERIALES;538;628;691;590;639;-73.089504;-36.776139;36;7.542787;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL ELECTRONICA;764;768;831;649;778;-73.089504;-36.776139;36;7.542787;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL MECANICA;723;624;783;692;731;-73.089504;-36.776139;36;7.542787;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL QUIMICA;744;703;680;608;689;-73.089504;-36.776139;36;7.542787;1;0;0;1;0;1;0;0;0
INGENIERIA CIVIL QUIMICA;723;722;652;667;683;-73.089504;-36.776139;36;7.542787;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL QUIMICA;702;699;671;642;679;-73.089504;-36.776139;36;7.542787;1;0;0;1;0;1;0;0;0
INGENIERIA CIVIL EN TELECOMUNICACIONES;558;583;644;576;603;-73.089504;-36.776139;36;7.542787;0;1;0;1;0;0;0;1;0
INGENIERIA CIVIL MECANICA;540;669;685;681;624;-73.089504;-36.776139;33;7.542787;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL;641;674;737;677;695;-73.089504;-36.776139;33;7.542787;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL;702;609;724;637;688;-73.089504;-36.776139;33;7.542787;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL;764;581;677;637;678;-73.089504;-36.776139;33;7.542787;1;0;0;1;0;1;0;0;0
INGENIERIA CIVIL METALURGICA;579;682;756;607;678;-73.089504;-36.776139;33;7.542787;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL ELECTRONICA;558;528;812;576;671;-73.089504;-36.776139;33;7.542787;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL INDUSTRIAL;678;711;747;623;716;-73.089504;-36.776139;32;7.542787;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL INDUSTRIAL;692;618;768;672;715;-73.089504;-36.776139;32;7.542787;1;0;0;1;0;0;1;0;0
INGENIERIA CIVIL INDUSTRIAL;672;634;672;629;677;-73.089504;-36.776139;32;7.542787;1;0;0;1;0;0;1;0;0
INGENIERIA CIVIL;688;706;727;647;711;-73.089504;-36.776139;31;7.542787;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL;655;606;850;602;717;-73.089504;-36.776139;30;7.542787;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL EN TELECOMUNICACIONES;496;639;648;617;604;-73.089504;-36.776139;30;7.542787;0;1;0;1;0;0;0;1;0
INGENIERIA CIVIL INDUSTRIAL;663;669;756;664;706;-73.089504;-36.776139;29;7.542787;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL METALURGICA;674;625;671;584;664;-73.089504;-36.776139;27;7.542787;1;0;0;1;0;0;1;0;0
INGENIERIA CIVIL METALURGICA;702;594;677;572;661;-73.089504;-36.776139;27;7.542787;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL BIOMEDICA;620;611;644;492;613;-73.089504;-36.776139;27;7.542787;1;0;0;1;0;0;0;1;0
INGENIERIA CIVIL MECANICA;692;615;686;657;686;-73.089504;-36.776139;25;7.542787;1;0;0;1;0;1;0;0;0
INGENIERIA CIVIL INFORMATICA;620;594;685;583;642;-73.089504;-36.776139;25;7.542787;0;1;0;1;0;0;0;1;0
INGENIERIA CIVIL INFORMATICA;585;571;766;611;650;-73.089504;-36.776139;24;7.542787;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL MECANICA;637;558;652;637;637;-73.089504;-36.776139;24;7.542787;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL ELECTRICA;661;636;634;579;633;-73.089504;-36.776139;24;7.542787;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL BIOMEDICA;558;623;637;560;607;-73.089504;-36.776139;24;7.542787;1;0;0;1;0;0;0;1;0
INGENIERIA CIVIL EN TELECOMUNICACIONES;496;614;636;571;588;-73.089504;-36.776139;24;7.542787;0;1;0;1;0;0;0;1;0
INGENIERIA CIVIL ELECTRICA;653;526;644;595;631;-73.089504;-36.776139;24;7.542787;0;1;0;1;0;0;0;1;0
INGENIERIA CIVIL - PLAN COMUN;682;657;626;605;642;-73.089504;-36.776139;21;7.542787;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL - PLAN COMUN;538;629;704;674;624;-73.089504;-36.776139;21;7.542787;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL EN TELECOMUNICACIONES;492;521;660;512;557;-73.089504;-36.776139;18;7.542787;0;1;0;1;0;0;0;0;1
INGENIERIA CIVIL - PLAN COMUN;538;575;702;604;627;-73.089504;-36.776139;17;7.542787;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL INFORMATICA;558;574;696;605;630;-73.089504;-36.776139;16;7.542787;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL METALURGICA;645;626;679;656;662;-73.089504;-36.776139;12;7.542787;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL MECANICA;599;679;702;619;660;-73.089504;-36.776139;8;7.542787;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL DE MATERIALES;599;602;657;557;619;-73.089504;-36.776139;8;7.542787;0;1;0;1;0;0;0;0;1
INGENIERIA CIVIL EN TELECOMUNICACIONES;620;650;629;514;613;-73.089504;-36.776139;8;7.542787;1;0;0;1;0;0;0;1;0
INGENIERIA CIVIL - PLAN COMUN;641;650;688;627;661;-73.089504;-36.776139;0;7.542787;0;1;0;1;0;0;0;1;0
INGENIERIA CIVIL;717;646;697;685;711;-73.089504;-36.776139;0;7.542787;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL BIOMEDICA;682;635;673;678;671;-73.089504;-36.776139;0;7.542787;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL - PLAN COMUN;579;667;694;646;654;-73.089504;-36.776139;0;7.542787;0;1;0;1;0;0;0;1;0
INGENIERIA CIVIL MECANICA;658;560;635;517;637;-73.1537483;-37.095304;27;31.363701;0;1;0;0;1;0;0;1;0
INGENIERIA CIVIL BIOMEDICA;582;531;659;598;610;-73.0526796;-36.8222841;24;1.64224;1;0;1;0;0;0;0;1;0
INGENIERIA CIVIL - PLAN COMUN;622;650;554;578;589;-73.0526796;-36.8222841;0;1.64224;0;1;1;0;0;0;0;0;1
INGENIERIA CIVIL EN TELECOMUNICACIONES;501;635;589;548;554;-73.401759;-37.806426;3;113.225156;0;1;1;0;0;0;0;1;0
INGENIERIA CIVIL INFORMATICA;814;579;583;546;680;-72.9539817;-36.6161135;18;24.728945;0;1;0;0;1;0;1;0;0
INGENIERIA CIVIL;501;541;705;591;612;-73.056048;-36.826041;27;1.797896;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL - PLAN COMUN;582;552;645;567;604;-73.056048;-36.826041;0;1.797896;0;1;0;1;0;0;0;1;0
INGENIERIA CIVIL BIOMEDICA;805;693;696;651;716;-72.1851915;-37.4322955;24;101.008509;0;1;1;0;0;1;0;0;0
INGENIERIA CIVIL QUIMICA;703;546;661;683;658;-72.1851915;-37.4322955;36;101.008509;0;1;1;0;0;0;1;0;0
INGENIERIA CIVIL MECANICA;717;613;706;571;691;-72.1851915;-37.4322955;33;101.008509;0;1;1;0;0;0;1;0;0
INGENIERIA CIVIL ELECTRONICA;805;754;688;677;726;-72.1851915;-37.4322955;33;101.008509;0;1;1;0;0;1;0;0;0
INGENIERIA CIVIL;785;706;702;615;740;-72.1851915;-37.4322955;33;101.008509;0;1;1;0;0;1;0;0;0
INGENIERIA CIVIL BIOMEDICA;805;707;671;624;703;-72.1851915;-37.4322955;27;101.008509;1;0;1;0;0;1;0;0;0
INGENIERIA CIVIL MECANICA;740;574;644;552;671;-72.1851915;-37.4322955;27;101.008509;0;1;1;0;0;0;1;0;0
INGENIERIA CIVIL ELECTRONICA;620;508;646;589;610;-72.1851915;-37.4322955;24;101.008509;0;1;1;0;0;0;1;0;0
INGENIERIA CIVIL DE MATERIALES;736;574;644;552;670;-72.1851915;-37.4322955;15;101.008509;0;1;1;0;0;0;1;0;0
INGENIERIA CIVIL - PLAN COMUN;688;660;620;593;655;-72.1851915;-37.4322955;14;101.008509;1;0;1;0;0;0;0;0;1
INGENIERIA CIVIL DE MATERIALES;448;480;602;550;517;-72.1851915;-37.4322955;12;101.008509;0;1;1;0;0;0;0;1;0
INGENIERIA CIVIL - PLAN COMUN;627;559;628;534;627;-72.1851915;-37.4322955;6;101.008509;0;1;1;0;0;0;0;0;1
INGENIERIA CIVIL ELECTRONICA;779;574;719;591;721;-72.1851915;-37.4322955;0;101.008509;0;1;1;0;0;0;1;0;0
INGENIERIA CIVIL EN TELECOMUNICACIONES;641;579;559;414;561;-72.1851915;-37.4322955;0;101.008509;0;1;1;0;0;0;0;0;1
INGENIERIA CIVIL ELECTRONICA;661;624;695;576;658;-72.1851915;-37.4322955;0;101.008509;0;1;1;0;0;0;1;0;0
INGENIERIA CIVIL ELECTRONICA;661;645;660;581;646;-72.1851915;-37.4322955;0;101.008509;0;1;1;0;0;0;1;0;0
INGENIERIA CIVIL MECANICA;661;624;636;594;634;-72.1851915;-37.4322955;0;101.008509;0;1;1;0;0;0;1;0;0
INGENIERIA CIVIL DE MATERIALES;620;558;617;578;603;-72.1851915;-37.4322955;0;101.008509;1;0;1;0;0;0;0;0;1
INGENIERIA CIVIL MECANICA;688;711;638;602;674;-72.1851915;-37.4322955;0;101.008509;0;1;1;0;0;0;1;0;0
INGENIERIA CIVIL EN TELECOMUNICACIONES;620;510;585;558;578;-72.1851915;-37.4322955;0;101.008509;0;1;1;0;0;0;0;0;1
INGENIERiA CIVIL DE MINAS;754;589;675;613;703;-73.0973447;-36.784576;36;7.345041;0;1;1;0;0;0;1;0;0
INGENIERIA CIVIL QUIMICA;783;589;675;672;722;-73.0973447;-36.784576;36;7.345041;0;1;1;0;0;0;1;0;0
INGENIERIA CIVIL INFORMATICA;750;706;727;651;740;-73.0973447;-36.784576;34;7.345041;1;0;1;0;0;1;0;0;0
INGENIERIA CIVIL INFORMATICA;805;647;617;608;672;-73.0973447;-36.784576;28;7.345041;0;1;1;0;0;0;1;0;0
INGENIERIA CIVIL DE MATERIALES;626;459;584;473;574;-73.0973447;-36.784576;3;7.345041;0;1;1;0;0;0;0;0;1
INGENIERIA CIVIL ELECTRONICA;641;531;651;628;632;-73.0973447;-36.784576;0;7.345041;0;1;1;0;0;0;0;1;0
INGENIERIA CIVIL MECANICA;688;630;702;648;680;-73.0464155;-36.829532;40;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL - PLAN COMUN;659;568;704;664;662;-73.0464155;-36.829532;40;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL INDUSTRIAL;807;762;751;744;784;-73.0464155;-36.829532;38;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL BIOMEDICA;785;686;748;660;735;-73.0464155;-36.829532;37;0.913203;1;0;0;1;0;1;0;0;0
INGENIERIA CIVIL INDUSTRIAL;760;653;741;682;737;-73.0464155;-36.829532;38;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL QUIMICA;783;616;775;726;759;-73.0464155;-36.829532;36;0.913203;1;0;0;1;0;1;0;0;0
INGENIERIA CIVIL QUIMICA;791;759;702;748;757;-73.0464155;-36.829532;36;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL QUIMICA;816;711;702;707;757;-73.0464155;-36.829532;36;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL QUIMICA;762;729;704;832;752;-73.0464155;-36.829532;36;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL QUIMICA;682;671;818;703;745;-73.0464155;-36.829532;36;0.913203;1;0;0;1;0;1;0;0;0
INGENIERIA CIVIL QUIMICA;723;664;770;666;727;-73.0464155;-36.829532;36;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL QUIMICA;764;702;733;666;726;-73.0464155;-36.829532;36;0.913203;1;0;0;1;0;1;0;0;0
INGENIERIA CIVIL QUIMICA;682;739;745;697;721;-73.0464155;-36.829532;36;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL QUIMICA;746;729;673;711;721;-73.0464155;-36.829532;36;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL MECANICA;744;623;745;679;717;-73.0464155;-36.829532;36;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL MECANICA;723;638;713;702;703;-73.0464155;-36.829532;36;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL QUIMICA;744;573;715;704;702;-73.0464155;-36.829532;36;0.913203;1;0;0;1;0;1;0;0;0
INGENIERIA CIVIL QUIMICA;682;638;733;697;701;-73.0464155;-36.829532;36;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL QUIMICA;785;628;691;623;699;-73.0464155;-36.829532;36;0.913203;1;0;0;1;0;1;0;0;0
INGENIERiA CIVIL DE MINAS;696;755;663;630;690;-73.0464155;-36.829532;36;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL METALURGICA;655;618;734;637;676;-73.0464155;-36.829532;36;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL - PLAN COMUN;620;600;715;678;668;-73.0464155;-36.829532;36;0.913203;1;0;0;1;0;0;1;0;0
INGENIERIA CIVIL METALURGICA;682;607;690;592;661;-73.0464155;-36.829532;36;0.913203;1;0;0;1;0;0;1;0;0
INGENIERIA CIVIL MECANICA;641;611;686;666;661;-73.0464155;-36.829532;36;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL INDUSTRIAL;744;804;806;810;791;-73.0464155;-36.829532;36;0.913203;1;0;0;1;0;1;0;0;0
INGENIERIA CIVIL;785;671;832;730;781;-73.0464155;-36.829532;36;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL;785;717;785;642;753;-73.0464155;-36.829532;36;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL ELECTRONICA;723;699;828;620;751;-73.0464155;-36.829532;36;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL;805;700;756;699;751;-73.0464155;-36.829532;36;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL QUIMICA;764;700;756;727;745;-73.0464155;-36.829532;36;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL;764;737;750;668;739;-73.0464155;-36.829532;36;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL QUIMICA;805;596;777;637;736;-73.0464155;-36.829532;36;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL;826;650;713;682;727;-73.0464155;-36.829532;36;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL INDUSTRIAL;723;735;724;722;725;-73.0464155;-36.829532;36;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL ELECTRICA;805;703;690;713;724;-73.0464155;-36.829532;36;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL QUIMICA;744;727;728;668;723;-73.0464155;-36.829532;36;0.913203;1;0;0;1;0;1;0;0;0
INGENIERIA CIVIL QUIMICA;764;706;727;651;722;-73.0464155;-36.829532;36;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL QUIMICA;805;650;694;657;710;-73.0464155;-36.829532;36;0.913203;1;0;0;1;0;1;0;0;0
INGENIERIA CIVIL INDUSTRIAL;661;689;761;613;703;-73.0464155;-36.829532;36;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL QUIMICA;744;648;728;598;701;-73.0464155;-36.829532;36;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL;744;723;686;615;695;-73.0464155;-36.829532;36;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL QUIMICA;661;648;716;688;688;-73.0464155;-36.829532;36;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL MECANICA;682;670;708;657;688;-73.0464155;-36.829532;36;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL;785;721;719;662;746;-73.0464155;-36.829532;35;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL;702;707;850;721;772;-73.0464155;-36.829532;33;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL;734;697;766;694;738;-73.0464155;-36.829532;33;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL;715;636;728;670;707;-73.0464155;-36.829532;33;0.913203;1;0;0;1;0;1;0;0;0
INGENIERiA CIVIL DE MINAS;740;636;679;692;705;-73.0464155;-36.829532;33;0.913203;1;0;0;1;0;1;0;0;0
INGENIERIA CIVIL;661;697;755;608;701;-73.0464155;-36.829532;33;0.913203;1;0;0;1;0;0;1;0;0
INGENIERIA CIVIL;661;616;722;617;676;-73.0464155;-36.829532;33;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL MECANICA;620;605;725;630;667;-73.0464155;-36.829532;33;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL;805;703;740;671;740;-73.0464155;-36.829532;33;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL;785;691;737;652;729;-73.0464155;-36.829532;33;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL INDUSTRIAL;663;786;719;601;695;-73.0464155;-36.829532;32;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL;599;668;811;666;715;-73.0464155;-36.829532;31;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL ELECTRONICA;661;733;811;622;733;-73.0464155;-36.829532;30;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL;702;634;743;668;704;-73.0464155;-36.829532;30;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL MECANICA;672;615;735;679;686;-73.0464155;-36.829532;30;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL BIOMEDICA;616;759;696;657;670;-73.0464155;-36.829532;30;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL MECANICA;682;641;681;623;668;-73.0464155;-36.829532;30;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL - PLAN COMUN;558;633;679;675;641;-73.0464155;-36.829532;30;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL INFORMATICA;723;697;732;714;723;-73.0464155;-36.829532;29;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL INDUSTRIAL;686;598;728;552;676;-73.0464155;-36.829532;29;0.913203;1;0;0;1;0;0;1;0;0
INGENIERIA CIVIL METALURGICA;680;607;630;639;653;-73.0464155;-36.829532;28;0.913203;1;0;0;1;0;0;1;0;0
INGENIERIA CIVIL QUIMICA;764;655;728;606;708;-73.0464155;-36.829532;28;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL QUIMICA;805;667;673;687;707;-73.0464155;-36.829532;28;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL INDUSTRIAL;682;686;748;616;702;-73.0464155;-36.829532;28;0.913203;1;0;0;1;0;0;1;0;0
INGENIERIA CIVIL INDUSTRIAL;723;696;671;692;691;-73.0464155;-36.829532;28;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL BIOMEDICA;818;565;648;663;713;-73.0464155;-36.829532;27;0.913203;1;0;0;1;0;1;0;0;0
INGENIERiA CIVIL DE MINAS;661;670;702;717;690;-73.0464155;-36.829532;27;0.913203;1;0;0;1;0;1;0;0;0
INGENIERIA CIVIL QUIMICA;599;626;752;663;682;-73.0464155;-36.829532;27;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL;719;582;675;629;679;-73.0464155;-36.829532;27;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL - PLAN COMUN;641;573;667;655;645;-73.0464155;-36.829532;27;0.913203;0;1;0;1;0;0;0;1;0
INGENIERIA CIVIL BIOMEDICA;517;623;641;674;612;-73.0464155;-36.829532;27;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL INDUSTRIAL;641;670;748;645;694;-73.0464155;-36.829532;27;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL ELECTRONICA;620;579;667;507;618;-73.0464155;-36.829532;27;0.913203;0;1;0;1;0;0;0;1;0
INGENIERIA CIVIL AEROESPACIAL;785;674;694;696;714;-73.0464155;-36.829532;26;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL INFORMATICA;620;660;682;572;647;-73.0464155;-36.829532;25;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL ELECTRONICA;637;571;682;666;646;-73.0464155;-36.829532;24;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL ELECTRONICA;702;768;688;652;698;-73.0464155;-36.829532;24;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL MECANICA;641;655;696;617;664;-73.0464155;-36.829532;21;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL ELECTRONICA;610;624;707;615;647;-73.0464155;-36.829532;21;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL MECANICA;579;587;737;614;657;-73.0464155;-36.829532;21;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL METALURGICA;620;613;695;605;650;-73.0464155;-36.829532;19;0.913203;0;1;0;1;0;0;0;1;0
INGENIERIA CIVIL EN TELECOMUNICACIONES;616;576;627;591;611;-73.0464155;-36.829532;18;0.913203;1;0;0;1;0;0;1;0;0
INGENIERIA CIVIL INFORMATICA;657;571;706;730;670;-73.0464155;-36.829532;18;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL MECANICA;641;661;644;516;627;-73.0464155;-36.829532;18;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL;723;626;735;677;707;-73.0464155;-36.829532;16;0.913203;1;0;0;1;0;0;1;0;0
INGENIERIA CIVIL INFORMATICA;686;560;701;650;672;-73.0464155;-36.829532;15;0.913203;1;0;0;1;0;0;1;0;0
INGENIERIA CIVIL - PLAN COMUN;702;646;674;660;675;-73.0464155;-36.829532;9;0.913203;1;0;0;1;0;0;1;0;0
INGENIERIA CIVIL ELECTRONICA;744;641;728;591;698;-73.0464155;-36.829532;9;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL QUIMICA;785;628;650;592;672;-73.0464155;-36.829532;9;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL BIOMEDICA;744;658;650;553;660;-73.0464155;-36.829532;9;0.913203;1;0;0;1;0;0;1;0;0
INGENIERIA CIVIL EN TELECOMUNICACIONES;661;547;640;576;622;-73.0464155;-36.829532;9;0.913203;0;1;0;1;0;0;0;0;1
INGENIERIA CIVIL ELECTRICA;723;564;622;520;623;-73.0464155;-36.829532;8;0.913203;0;1;0;1;0;0;0;0;1
INGENIERIA CIVIL QUIMICA;752;606;713;724;720;-73.0464155;-36.829532;6;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL BIOMEDICA;723;645;628;685;677;-73.0464155;-36.829532;6;0.913203;1;0;0;1;0;0;1;0;0
INGENIERIA CIVIL - PLAN COMUN;476;568;675;688;611;-73.0464155;-36.829532;3;0.913203;0;1;0;1;0;0;0;1;0
INGENIERIA CIVIL ELECTRONICA;764;571;652;583;658;-73.0464155;-36.829532;3;0.913203;0;1;0;1;0;0;0;1;0
INGENIERIA CIVIL METALURGICA;692;624;637;589;653;-73.0464155;-36.829532;0;0.913203;1;0;0;1;0;0;1;0;0
INGENIERIA CIVIL INDUSTRIAL;785;660;739;633;723;-73.0464155;-36.829532;0;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL;723;661;699;655;693;-73.0464155;-36.829532;0;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL QUIMICA;805;674;627;696;689;-73.0464155;-36.829532;0;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL INDUSTRIAL;744;619;675;645;679;-73.0464155;-36.829532;0;0.913203;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL - PLAN COMUN;641;589;623;558;613;-73.0464155;-36.829532;0;0.913203;0;1;0;1;0;0;0;1;0
INGENIERIA CIVIL INDUSTRIAL;760;660;718;714;730;-73.0464155;-36.829532;0;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL AEROESPACIAL;682;704;746;681;715;-73.0464155;-36.829532;0;0.913203;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL;740;639;625;681;681;-73.0464155;-36.829532;0;0.913203;0;1;0;1;0;0;1;0;0
